DV,NPV,Offset,Estado,Marco,DF
0x41580,0x41,0x580,FALLO,7,0x7580
0x628A1,0x62,0x8A1,FALLO,10,0xA8A1
0x77CBF,0x77,0xCBF,FALLO,11,0xBCBF
0x1E01,0x1,0xE01,FALLO,12,0xCE01
0x6758,0x6,0x758,HIT,3,0x3758
0x6982D,0x69,0x82D,FALLO,2,0x282D
0xD1F5,0xD,0x1F5,FALLO,4,0x41F5
0x1B09E,0x1B,0x9E,FALLO,6,0x609E
0x36356,0x36,0x356,FALLO,8,0x8356
0x6C9B2,0x6C,0x9B2,FALLO,9,0x99B2
0x2C4CF,0x2C,0x4CF,FALLO,13,0xD4CF
0x42BDF,0x42,0xBDF,FALLO,14,0xEBDF
0x3EB19,0x3E,0xB19,FALLO,15,0xFB19
0x56F73,0x56,0xF73,FALLO,0,0xF73
0x36826,0x36,0x826,HIT,8,0x8826
0x658B9,0x65,0x8B9,FALLO,1,0x18B9
0x2127D,0x21,0x27D,FALLO,3,0x327D
0x6CDEF,0x6C,0xDEF,HIT,9,0x9DEF
0x301C0,0x30,0x1C0,FALLO,5,0x51C0
0x1A643,0x1A,0x643,FALLO,7,0x7643
0x10472,0x10,0x472,FALLO,10,0xA472
0xE7F1,0xE,0x7F1,FALLO,11,0xB7F1
0x14793,0x14,0x793,FALLO,12,0xC793
0x4DA0,0x4,0xDA0,FALLO,2,0x2DA0
0x3A5BE,0x3A,0x5BE,FALLO,4,0x45BE
0x5EA42,0x5E,0xA42,FALLO,6,0x6A42
0x39505,0x39,0x505,FALLO,8,0x8505
0xB2FF,0xB,0x2FF,FALLO,9,0x92FF
0x7C9DC,0x7C,0x9DC,FALLO,13,0xD9DC
0xFF4A,0xF,0xF4A,FALLO,14,0xEF4A
0x2DE25,0x2D,0xE25,FALLO,15,0xFE25
0x63089,0x63,0x89,FALLO,0,0x89
0x13F6E,0x13,0xF6E,FALLO,1,0x1F6E
0x9010,0x9,0x10,FALLO,3,0x3010
0x4F6CD,0x4F,0x6CD,FALLO,5,0x56CD
0x593FA,0x59,0x3FA,FALLO,7,0x73FA
0x266E0,0x26,0x6E0,FALLO,10,0xA6E0
0x25A04,0x25,0xA04,FALLO,11,0xBA04
0x16B57,0x16,0xB57,FALLO,12,0xCB57
0x66F05,0x66,0xF05,FALLO,2,0x2F05
0x6FC7A,0x6F,0xC7A,FALLO,4,0x4C7A
0x6F183,0x6F,0x183,HIT,4,0x4183
0x35C9A,0x35,0xC9A,FALLO,6,0x6C9A
0x234D0,0x23,0x4D0,FALLO,8,0x84D0
0x7EABB,0x7E,0xABB,FALLO,9,0x9ABB
0x4E5E0,0x4E,0x5E0,FALLO,13,0xD5E0
0x20268,0x20,0x268,FALLO,14,0xE268
0x41243,0x41,0x243,FALLO,15,0xF243
0x500F8,0x50,0xF8,FALLO,0,0xF8
0x53F9E,0x53,0xF9E,FALLO,1,0x1F9E
0x31D65,0x31,0xD65,FALLO,3,0x3D65
0x2D437,0x2D,0x437,FALLO,5,0x5437
0x58D40,0x58,0xD40,FALLO,7,0x7D40
0x70A02,0x70,0xA02,FALLO,10,0xAA02
0x4601E,0x46,0x1E,FALLO,11,0xB01E
0x16613,0x16,0x613,HIT,12,0xC613
0x13F00,0x13,0xF00,FALLO,2,0x2F00
0x621EA,0x62,0x1EA,FALLO,4,0x41EA
0x2E053,0x2E,0x53,FALLO,6,0x6053
0x24A27,0x24,0xA27,FALLO,8,0x8A27
0x108AD,0x10,0x8AD,FALLO,9,0x98AD
0x612CE,0x61,0x2CE,FALLO,12,0xC2CE
0x5633C,0x56,0x33C,FALLO,13,0xD33C
0x47BBF,0x47,0xBBF,FALLO,14,0xEBBF
0x1C6BA,0x1C,0x6BA,FALLO,15,0xF6BA
0x2EAAD,0x2E,0xAAD,HIT,6,0x6AAD
0x1AB21,0x1A,0xB21,FALLO,0,0xB21
0x7A2F9,0x7A,0x2F9,FALLO,1,0x12F9
0x62421,0x62,0x421,HIT,4,0x4421
0x4007F,0x40,0x7F,FALLO,3,0x307F
0x7ABC9,0x7A,0xBC9,HIT,1,0x1BC9
0x7B723,0x7B,0x723,FALLO,5,0x5723
0x41A3F,0x41,0xA3F,FALLO,7,0x7A3F
0x7BB20,0x7B,0xB20,HIT,5,0x5B20
0x8457,0x8,0x457,FALLO,10,0xA457
0x26E10,0x26,0xE10,FALLO,11,0xBE10
0x4269B,0x42,0x69B,FALLO,2,0x269B
0x6727A,0x67,0x27A,FALLO,4,0x427A
0x10CF1,0x10,0xCF1,HIT,9,0x9CF1
0x573D8,0x57,0x3D8,FALLO,6,0x63D8
0x3E6AA,0x3E,0x6AA,FALLO,8,0x86AA
0x4A038,0x4A,0x38,FALLO,12,0xC038
0x19CDF,0x19,0xCDF,FALLO,13,0xDCDF
0x7F1DF,0x7F,0x1DF,FALLO,14,0xE1DF
0x1C7FE,0x1C,0x7FE,HIT,15,0xF7FE
0x7DA93,0x7D,0xA93,FALLO,0,0xA93
0xA758,0xA,0x758,FALLO,1,0x1758
0x26FAD,0x26,0xFAD,HIT,11,0xBFAD
0x31128,0x31,0x128,FALLO,3,0x3128
0x3035B,0x30,0x35B,FALLO,5,0x535B
0x760A7,0x76,0xA7,FALLO,7,0x70A7
0x1EC3,0x1,0xEC3,FALLO,9,0x9EC3
0x442B,0x4,0x42B,FALLO,10,0xA42B
0x2C01A,0x2C,0x1A,FALLO,15,0xF01A
0x660DD,0x66,0xDD,FALLO,2,0x20DD
0x62E2F,0x62,0xE2F,FALLO,4,0x4E2F
0x67254,0x67,0x254,FALLO,6,0x6254
0x35723,0x35,0x723,FALLO,8,0x8723
0x76D29,0x76,0xD29,HIT,7,0x7D29
0x22D79,0x22,0xD79,FALLO,11,0xBD79
0x32C41,0x32,0xC41,FALLO,12,0xCC41
0x3E4AF,0x3E,0x4AF,FALLO,13,0xD4AF
0x68F15,0x68,0xF15,FALLO,14,0xEF15
0x5E278,0x5E,0x278,FALLO,0,0x278
0x9047,0x9,0x47,FALLO,1,0x1047
0x733F,0x7,0x33F,FALLO,3,0x333F
0x16409,0x16,0x409,FALLO,5,0x5409
0x5F314,0x5F,0x314,FALLO,9,0x9314
0x5895A,0x58,0x95A,FALLO,10,0xA95A
0x2CCBA,0x2C,0xCBA,HIT,15,0xFCBA
0x5F677,0x5F,0x677,HIT,9,0x9677
0x343FA,0x34,0x3FA,FALLO,2,0x23FA
0x1DFD2,0x1D,0xFD2,FALLO,4,0x4FD2
0x3864B,0x38,0x64B,FALLO,6,0x664B
0x2A681,0x2A,0x681,FALLO,7,0x7681
0x443A5,0x44,0x3A5,FALLO,8,0x83A5
0x66CC1,0x66,0xCC1,FALLO,11,0xBCC1
0x60DAC,0x60,0xDAC,FALLO,12,0xCDAC
0x3E9EC,0x3E,0x9EC,HIT,13,0xD9EC
0x36FA2,0x36,0xFA2,FALLO,14,0xEFA2
0x738B1,0x73,0x8B1,FALLO,15,0xF8B1
0x1E9CA,0x1E,0x9CA,FALLO,0,0x9CA
0x3E056,0x3E,0x56,HIT,13,0xD056
0x25B09,0x25,0xB09,FALLO,1,0x1B09
0x5683E,0x56,0x83E,FALLO,3,0x383E
0x7B7E7,0x7B,0x7E7,FALLO,5,0x57E7
0x7B865,0x7B,0x865,HIT,5,0x5865
0x250D6,0x25,0xD6,HIT,1,0x10D6
0x44F2E,0x44,0xF2E,HIT,8,0x8F2E
0x575E7,0x57,0x5E7,FALLO,9,0x95E7
0x6160F,0x61,0x60F,FALLO,10,0xA60F
0x9EC2,0x9,0xEC2,FALLO,2,0x2EC2
0x77880,0x77,0x880,FALLO,4,0x4880
0x15DEC,0x15,0xDEC,FALLO,6,0x6DEC
0x7D876,0x7D,0x876,FALLO,7,0x7876
0x779F6,0x77,0x9F6,HIT,4,0x49F6
0x20919,0x20,0x919,FALLO,8,0x8919
0x2660A,0x26,0x60A,FALLO,11,0xB60A
0x17972,0x17,0x972,FALLO,12,0xC972
0x25F86,0x25,0xF86,HIT,1,0x1F86
0x54C89,0x54,0xC89,FALLO,13,0xDC89
0x96CF,0x9,0x6CF,HIT,2,0x26CF
0x38472,0x38,0x472,FALLO,14,0xE472
0x4BB07,0x4B,0xB07,FALLO,15,0xFB07
0x50D82,0x50,0xD82,FALLO,0,0xD82
0x7B421,0x7B,0x421,HIT,5,0x5421
0x7F29E,0x7F,0x29E,FALLO,3,0x329E
0x40A5C,0x40,0xA5C,FALLO,9,0x9A5C
0x72993,0x72,0x993,FALLO,10,0xA993
0x2FEBF,0x2F,0xEBF,FALLO,1,0x1EBF
0x35811,0x35,0x811,FALLO,2,0x2811
0x3DAE0,0x3D,0xAE0,FALLO,4,0x4AE0
0xDB6C,0xD,0xB6C,FALLO,5,0x5B6C
0x9071,0x9,0x71,FALLO,6,0x6071
0x1499F,0x14,0x99F,FALLO,7,0x799F
