DV,NPV,Offset,Estado,Marco,DF
0xD50,0x1AA,0x0,FALLO,3,0x18
0x8CB,0x119,0x3,FALLO,4,0x23
0x64E,0xC9,0x6,FALLO,5,0x2E
0x22D,0x45,0x5,FALLO,6,0x35
0x147,0x28,0x7,FALLO,7,0x3F
0x6E7,0xDC,0x7,FALLO,2,0x17
0x538,0xA7,0x0,FALLO,0,0x0
0xD4C,0x1A9,0x4,FALLO,1,0xC
0xC03,0x180,0x3,FALLO,3,0x1B
0x75D,0xEB,0x5,FALLO,4,0x25
0x21C,0x43,0x4,FALLO,5,0x2C
0x5D3,0xBA,0x3,FALLO,6,0x33
0xEDD,0x1DB,0x5,FALLO,7,0x3D
0x82D,0x105,0x5,FALLO,2,0x15
0x676,0xCE,0x6,FALLO,0,0x6
0xEE1,0x1DC,0x1,FALLO,1,0x9
0x39B,0x73,0x3,FALLO,3,0x1B
0xE9A,0x1D3,0x2,FALLO,4,0x22
0xF,0x1,0x7,FALLO,5,0x2F
0x8F1,0x11E,0x1,FALLO,6,0x31
0xDD1,0x1BA,0x1,FALLO,7,0x39
0xA60,0x14C,0x0,FALLO,2,0x10
0xBA5,0x174,0x5,FALLO,0,0x5
0xA61,0x14C,0x1,HIT,2,0x11
0xB4F,0x169,0x7,FALLO,1,0xF
0xA83,0x150,0x3,FALLO,3,0x1B
0xD45,0x1A8,0x5,FALLO,4,0x25
0xBD9,0x17B,0x1,FALLO,5,0x29
0x3EB,0x7D,0x3,FALLO,6,0x33
0xEB5,0x1D6,0x5,FALLO,7,0x3D
0xA0,0x14,0x0,FALLO,2,0x10
0x734,0xE6,0x4,FALLO,0,0x4
0x28D,0x51,0x5,FALLO,1,0xD
0x1B8,0x37,0x0,FALLO,3,0x18
0xB68,0x16D,0x0,FALLO,4,0x20
0x498,0x93,0x0,FALLO,5,0x28
0xE03,0x1C0,0x3,FALLO,6,0x33
0xFCB,0x1F9,0x3,FALLO,7,0x3B
0x7E1,0xFC,0x1,FALLO,2,0x11
0xCDE,0x19B,0x6,FALLO,0,0x6
0x7AD,0xF5,0x5,FALLO,1,0xD
0x409,0x81,0x1,FALLO,3,0x19
0xC5E,0x18B,0x6,FALLO,4,0x26
0xC24,0x184,0x4,FALLO,5,0x2C
0xFC7,0x1F8,0x7,FALLO,6,0x37
0xCB4,0x196,0x4,FALLO,7,0x3C
0x104,0x20,0x4,FALLO,2,0x14
0x7C6,0xF8,0x6,FALLO,0,0x6
0xE47,0x1C8,0x7,FALLO,1,0xF
0x30C,0x61,0x4,FALLO,3,0x1C
0x3F0,0x7E,0x0,FALLO,4,0x20
0x52E,0xA5,0x6,FALLO,5,0x2E
0x869,0x10D,0x1,FALLO,6,0x31
0xF9,0x1F,0x1,FALLO,7,0x39
0x118,0x23,0x0,FALLO,2,0x10
0xC14,0x182,0x4,FALLO,0,0x4
0xA35,0x146,0x5,FALLO,1,0xD
0x5E,0xB,0x6,FALLO,3,0x1E
0x29C,0x53,0x4,FALLO,4,0x24
0x47F,0x8F,0x7,FALLO,5,0x2F
0x297,0x52,0x7,FALLO,6,0x37
0xA53,0x14A,0x3,FALLO,7,0x3B
0x77,0xE,0x7,FALLO,2,0x17
0xB32,0x166,0x2,FALLO,0,0x2
0x366,0x6C,0x6,FALLO,1,0xE
0xB40,0x168,0x0,FALLO,3,0x18
0xE1E,0x1C3,0x6,FALLO,4,0x26
0x6EF,0xDD,0x7,FALLO,5,0x2F
0xE46,0x1C8,0x6,FALLO,6,0x36
0xEAB,0x1D5,0x3,FALLO,7,0x3B
0xE7E,0x1CF,0x6,FALLO,2,0x16
0xD21,0x1A4,0x1,FALLO,0,0x1
0x60A,0xC1,0x2,FALLO,1,0xA
0x927,0x124,0x7,FALLO,3,0x1F
0xAFC,0x15F,0x4,FALLO,4,0x24
0x873,0x10E,0x3,FALLO,5,0x2B
0xAAB,0x155,0x3,FALLO,6,0x33
0xB3,0x16,0x3,FALLO,7,0x3B
0x1AB,0x35,0x3,FALLO,2,0x13
0xDE8,0x1BD,0x0,FALLO,0,0x0
0x236,0x46,0x6,FALLO,1,0xE
0xD2,0x1A,0x2,FALLO,3,0x1A
0xA2B,0x145,0x3,FALLO,4,0x23
0x36E,0x6D,0x6,FALLO,5,0x2E
0x91F,0x123,0x7,FALLO,6,0x37
0x3C8,0x79,0x0,FALLO,7,0x38
0xCC9,0x199,0x1,FALLO,2,0x11
0x721,0xE4,0x1,FALLO,0,0x1
0x9A4,0x134,0x4,FALLO,1,0xC
0x2F1,0x5E,0x1,FALLO,3,0x19
0x2AC,0x55,0x4,FALLO,4,0x24
0x70D,0xE1,0x5,FALLO,5,0x2D
0xE2A,0x1C5,0x2,FALLO,6,0x32
0xFA,0x1F,0x2,FALLO,7,0x3A
0x60A,0xC1,0x2,FALLO,2,0x12
0x682,0xD0,0x2,FALLO,0,0x2
0x3B2,0x76,0x2,FALLO,1,0xA
0x504,0xA0,0x4,FALLO,3,0x1C
0x802,0x100,0x2,FALLO,4,0x22
0x8CE,0x119,0x6,FALLO,5,0x2E
0xB98,0x173,0x0,FALLO,6,0x30
0xCC8,0x199,0x0,FALLO,7,0x38
0xDCE,0x1B9,0x6,FALLO,2,0x16
0x4FC,0x9F,0x4,FALLO,0,0x4
0x2AA,0x55,0x2,FALLO,1,0xA
0xCBA,0x197,0x2,FALLO,3,0x1A
0xD8C,0x1B1,0x4,FALLO,4,0x24
0x772,0xEE,0x2,FALLO,5,0x2A
0x333,0x66,0x3,FALLO,6,0x33
0xB95,0x172,0x5,FALLO,7,0x3D
0x4A6,0x94,0x6,FALLO,2,0x16
0x5B4,0xB6,0x4,FALLO,0,0x4
0x5BA,0xB7,0x2,FALLO,1,0xA
0x652,0xCA,0x2,FALLO,3,0x1A
0xCF5,0x19E,0x5,FALLO,4,0x25
0x390,0x72,0x0,FALLO,5,0x28
0xA27,0x144,0x7,FALLO,6,0x37
0x573,0xAE,0x3,FALLO,7,0x3B
0x5E9,0xBD,0x1,FALLO,2,0x11
0x9C6,0x138,0x6,FALLO,0,0x6
0xAEE,0x15D,0x6,FALLO,1,0xE
0x8AE,0x115,0x6,FALLO,3,0x1E
0x7D3,0xFA,0x3,FALLO,4,0x23
0x443,0x88,0x3,FALLO,5,0x2B
0x5FB,0xBF,0x3,FALLO,6,0x33
0x5DC,0xBB,0x4,FALLO,7,0x3C
0xA7A,0x14F,0x2,FALLO,2,0x12
0xB0F,0x161,0x7,FALLO,0,0x7
0x64,0xC,0x4,FALLO,1,0xC
0x1E3,0x3C,0x3,FALLO,3,0x1B
0x9AC,0x135,0x4,FALLO,4,0x24
0xAA5,0x154,0x5,FALLO,5,0x2D
0xF9F,0x1F3,0x7,FALLO,6,0x37
0xF4C,0x1E9,0x4,FALLO,7,0x3C
0x909,0x121,0x1,FALLO,2,0x11
0x8FB,0x11F,0x3,FALLO,0,0x3
0xDEA,0x1BD,0x2,FALLO,1,0xA
0xD4D,0x1A9,0x5,FALLO,3,0x1D
0x8D7,0x11A,0x7,FALLO,4,0x27
0x1D3,0x3A,0x3,FALLO,5,0x2B
0xD30,0x1A6,0x0,FALLO,6,0x30
0x7C1,0xF8,0x1,FALLO,7,0x39
0x4D7,0x9A,0x7,FALLO,2,0x17
0x16A,0x2D,0x2,FALLO,0,0x2
0x252,0x4A,0x2,FALLO,1,0xA
0x599,0xB3,0x1,FALLO,3,0x19
0xA9F,0x153,0x7,FALLO,4,0x27
0x8BD,0x117,0x5,FALLO,5,0x2D
0x56F,0xAD,0x7,FALLO,6,0x37
0x39B,0x73,0x3,FALLO,7,0x3B
0xDE,0x1B,0x6,FALLO,2,0x16
0x813,0x102,0x3,FALLO,0,0x3
0xE49,0x1C9,0x1,FALLO,1,0x9
0x3EE,0x7D,0x6,FALLO,3,0x1E
0x3CD,0x79,0x5,FALLO,4,0x25
0x168,0x2D,0x0,FALLO,5,0x28
0xA66,0x14C,0x6,FALLO,6,0x36
0x923,0x124,0x3,FALLO,7,0x3B
0xB2A,0x165,0x2,FALLO,2,0x12
0x2F9,0x5F,0x1,FALLO,0,0x1
0x128,0x25,0x0,FALLO,1,0x8
0xA8F,0x151,0x7,FALLO,3,0x1F
0x2AA,0x55,0x2,FALLO,4,0x22
0x8C6,0x118,0x6,FALLO,5,0x2E
0xF3D,0x1E7,0x5,FALLO,6,0x35
0x597,0xB2,0x7,FALLO,7,0x3F
0x61D,0xC3,0x5,FALLO,2,0x15
0x1DC,0x3B,0x4,FALLO,0,0x4
0x6E8,0xDD,0x0,FALLO,1,0x8
0xB36,0x166,0x6,FALLO,3,0x1E
0x429,0x85,0x1,FALLO,4,0x21
0x211,0x42,0x1,FALLO,5,0x29
0xED5,0x1DA,0x5,FALLO,6,0x35
0x2D0,0x5A,0x0,FALLO,7,0x38
0xFA0,0x1F4,0x0,FALLO,2,0x10
0xDC3,0x1B8,0x3,FALLO,0,0x3
0x3AB,0x75,0x3,FALLO,1,0xB
0x798,0xF3,0x0,FALLO,3,0x18
0xC6D,0x18D,0x5,FALLO,4,0x25
0x884,0x110,0x4,FALLO,5,0x2C
0x87C,0x10F,0x4,FALLO,6,0x34
0x426,0x84,0x6,FALLO,7,0x3E
0xB6A,0x16D,0x2,FALLO,2,0x12
0x9F4,0x13E,0x4,FALLO,0,0x4
0x3E8,0x7D,0x0,FALLO,1,0x8
0x21D,0x43,0x5,FALLO,3,0x1D
0x65F,0xCB,0x7,FALLO,4,0x27
0x5C7,0xB8,0x7,FALLO,5,0x2F
0xA8F,0x151,0x7,FALLO,6,0x37
0x76D,0xED,0x5,FALLO,7,0x3D
0x5D0,0xBA,0x0,FALLO,2,0x10
0x9A5,0x134,0x5,FALLO,0,0x5
0x6E7,0xDC,0x7,FALLO,1,0xF
0xD2C,0x1A5,0x4,FALLO,3,0x1C
0xDF8,0x1BF,0x0,FALLO,4,0x20
0x67A,0xCF,0x2,FALLO,5,0x2A
0x31,0x6,0x1,FALLO,6,0x31
0xF0C,0x1E1,0x4,FALLO,7,0x3C
0xCA7,0x194,0x7,FALLO,2,0x17
0xA68,0x14D,0x0,FALLO,0,0x0
0xDE7,0x1BC,0x7,FALLO,1,0xF
0xFBF,0x1F7,0x7,FALLO,3,0x1F
0xE69,0x1CD,0x1,FALLO,4,0x21
0x11E,0x23,0x6,FALLO,5,0x2E
0xD87,0x1B0,0x7,FALLO,6,0x37
0xFDC,0x1FB,0x4,FALLO,7,0x3C
0x49F,0x93,0x7,FALLO,2,0x17
0xEE8,0x1DD,0x0,FALLO,0,0x0
0x804,0x100,0x4,FALLO,1,0xC
0x330,0x66,0x0,FALLO,3,0x18
0x71A,0xE3,0x2,FALLO,4,0x22
0xFFB,0x1FF,0x3,FALLO,5,0x2B
0x605,0xC0,0x5,FALLO,6,0x35
0xF58,0x1EB,0x0,FALLO,7,0x38
0xE9,0x1D,0x1,FALLO,2,0x11
0x264,0x4C,0x4,FALLO,0,0x4
0xF22,0x1E4,0x2,FALLO,1,0xA
0x7B0,0xF6,0x0,FALLO,3,0x18
0xCBE,0x197,0x6,FALLO,4,0x26
0xE5D,0x1CB,0x5,FALLO,5,0x2D
0xD4B,0x1A9,0x3,FALLO,6,0x33
0x28A,0x51,0x2,FALLO,7,0x3A
0xB27,0x164,0x7,FALLO,2,0x17
0x7C2,0xF8,0x2,FALLO,0,0x2
0x281,0x50,0x1,FALLO,1,0x9
0x492,0x92,0x2,FALLO,3,0x1A
0xF69,0x1ED,0x1,FALLO,4,0x21
0xF4D,0x1E9,0x5,FALLO,5,0x2D
0x263,0x4C,0x3,FALLO,6,0x33
0xF77,0x1EE,0x7,FALLO,7,0x3F
0xC1C,0x183,0x4,FALLO,2,0x14
0xB7E,0x16F,0x6,FALLO,0,0x6
0xDE9,0x1BD,0x1,FALLO,1,0x9
0x129,0x25,0x1,FALLO,3,0x19
0x932,0x126,0x2,FALLO,4,0x22
0xD29,0x1A5,0x1,FALLO,5,0x29
0xF63,0x1EC,0x3,FALLO,6,0x33
0x638,0xC7,0x0,FALLO,7,0x38
0x96,0x12,0x6,FALLO,2,0x16
0x4C,0x9,0x4,FALLO,0,0x4
0x319,0x63,0x1,FALLO,1,0x9
0xD71,0x1AE,0x1,FALLO,3,0x19
0xEF1,0x1DE,0x1,FALLO,4,0x21
0x542,0xA8,0x2,FALLO,5,0x2A
0x3A6,0x74,0x6,FALLO,6,0x36
0x280,0x50,0x0,FALLO,7,0x38
0x8DC,0x11B,0x4,FALLO,2,0x14
0xC04,0x180,0x4,FALLO,0,0x4
0xD15,0x1A2,0x5,FALLO,1,0xD
0x992,0x132,0x2,FALLO,3,0x1A
0xA3F,0x147,0x7,FALLO,4,0x27
0x9B8,0x137,0x0,FALLO,5,0x28
0xF1C,0x1E3,0x4,FALLO,6,0x34
0xFA4,0x1F4,0x4,FALLO,7,0x3C
0xB07,0x160,0x7,FALLO,2,0x17
0xDAC,0x1B5,0x4,FALLO,0,0x4
0xF51,0x1EA,0x1,FALLO,1,0x9
0x538,0xA7,0x0,FALLO,3,0x18
0xF35,0x1E6,0x5,FALLO,4,0x25
0x70C,0xE1,0x4,FALLO,5,0x2C
0xF86,0x1F0,0x6,FALLO,6,0x36
0xE16,0x1C2,0x6,FALLO,7,0x3E
0x365,0x6C,0x5,FALLO,2,0x15
0xC2D,0x185,0x5,FALLO,0,0x5
0x322,0x64,0x2,FALLO,1,0xA
0xDFE,0x1BF,0x6,FALLO,3,0x1E
0x17F,0x2F,0x7,FALLO,4,0x27
0x3D8,0x7B,0x0,FALLO,5,0x28
0x36B,0x6D,0x3,FALLO,6,0x33
0x3D8,0x7B,0x0,HIT,5,0x28
0x3E7,0x7C,0x7,FALLO,7,0x3F
0x7BE,0xF7,0x6,FALLO,2,0x16
0xF09,0x1E1,0x1,FALLO,0,0x1
0xAA8,0x155,0x0,FALLO,1,0x8
0x92,0x12,0x2,FALLO,3,0x1A
0xE18,0x1C3,0x0,FALLO,4,0x20
0x101,0x20,0x1,FALLO,5,0x29
0x8B3,0x116,0x3,FALLO,6,0x33
0x9BC,0x137,0x4,FALLO,7,0x3C
0x20,0x4,0x0,FALLO,2,0x10
0x38E,0x71,0x6,FALLO,0,0x6
0xA7E,0x14F,0x6,FALLO,1,0xE
0xD99,0x1B3,0x1,FALLO,3,0x19
0xF16,0x1E2,0x6,FALLO,4,0x26
0x2BE,0x57,0x6,FALLO,5,0x2E
0x272,0x4E,0x2,FALLO,6,0x32
0xFB,0x1F,0x3,FALLO,7,0x3B
0x3DD,0x7B,0x5,FALLO,2,0x15
0x416,0x82,0x6,FALLO,0,0x6
0x2E1,0x5C,0x1,FALLO,1,0x9
0x10E,0x21,0x6,FALLO,3,0x1E
0x6E4,0xDC,0x4,FALLO,4,0x24
0xDAC,0x1B5,0x4,FALLO,5,0x2C
0xEEF,0x1DD,0x7,FALLO,6,0x37
0x7A7,0xF4,0x7,FALLO,7,0x3F
0x33B,0x67,0x3,FALLO,2,0x13
0x435,0x86,0x5,FALLO,0,0x5
0x2B,0x5,0x3,FALLO,1,0xB
0x786,0xF0,0x6,FALLO,3,0x1E
0xF6C,0x1ED,0x4,FALLO,4,0x24
0x14F,0x29,0x7,FALLO,5,0x2F
0xC29,0x185,0x1,FALLO,6,0x31
0x97B,0x12F,0x3,FALLO,7,0x3B
0xD6A,0x1AD,0x2,FALLO,2,0x12
0x2D9,0x5B,0x1,FALLO,0,0x1
0xEBD,0x1D7,0x5,FALLO,1,0xD
0xC4B,0x189,0x3,FALLO,3,0x1B
0xDF3,0x1BE,0x3,FALLO,4,0x23
0x331,0x66,0x1,FALLO,5,0x29
0x6A8,0xD5,0x0,FALLO,6,0x30
0xF36,0x1E6,0x6,FALLO,7,0x3E
0x9FC,0x13F,0x4,FALLO,2,0x14
0xB2F,0x165,0x7,FALLO,0,0x7
0xFB3,0x1F6,0x3,FALLO,1,0xB
0xD17,0x1A2,0x7,FALLO,3,0x1F
0x2B7,0x56,0x7,FALLO,4,0x27
0xDA4,0x1B4,0x4,FALLO,5,0x2C
0xF76,0x1EE,0x6,FALLO,6,0x36
0xD31,0x1A6,0x1,FALLO,7,0x39
0xC5D,0x18B,0x5,FALLO,2,0x15
0x1BE,0x37,0x6,FALLO,0,0x6
0x587,0xB0,0x7,FALLO,1,0xF
0x2CF,0x59,0x7,FALLO,3,0x1F
0x377,0x6E,0x7,FALLO,4,0x27
0xA6E,0x14D,0x6,FALLO,5,0x2E
0x2A9,0x55,0x1,FALLO,6,0x31
0x3E8,0x7D,0x0,FALLO,7,0x38
0x4BF,0x97,0x7,FALLO,2,0x17
0xC51,0x18A,0x1,FALLO,0,0x1
0xBA7,0x174,0x7,FALLO,1,0xF
0x7F9,0xFF,0x1,FALLO,3,0x19
0x900,0x120,0x0,FALLO,4,0x20
0x12D,0x25,0x5,FALLO,5,0x2D
0x409,0x81,0x1,FALLO,6,0x31
0xB14,0x162,0x4,FALLO,7,0x3C
0x9C4,0x138,0x4,FALLO,2,0x14
0xA06,0x140,0x6,FALLO,0,0x6
0x7B6,0xF6,0x6,FALLO,1,0xE
0x391,0x72,0x1,FALLO,3,0x19
0x725,0xE4,0x5,FALLO,4,0x25
0x79D,0xF3,0x5,FALLO,5,0x2D
0xF04,0x1E0,0x4,FALLO,6,0x34
0x926,0x124,0x6,FALLO,7,0x3E
0x77B,0xEF,0x3,FALLO,2,0x13
0xC11,0x182,0x1,FALLO,0,0x1
0xA86,0x150,0x6,FALLO,1,0xE
0x1A6,0x34,0x6,FALLO,3,0x1E
0x512,0xA2,0x2,FALLO,4,0x22
0x446,0x88,0x6,FALLO,5,0x2E
0x9FE,0x13F,0x6,FALLO,6,0x36
0x25,0x4,0x5,FALLO,7,0x3D
0xD52,0x1AA,0x2,FALLO,2,0x12
0x8B4,0x116,0x4,FALLO,0,0x4
0xA5F,0x14B,0x7,FALLO,1,0xF
0xA89,0x151,0x1,FALLO,3,0x19
0xDAB,0x1B5,0x3,FALLO,4,0x23
0x26F,0x4D,0x7,FALLO,5,0x2F
0x10E,0x21,0x6,FALLO,6,0x36
0x37,0x6,0x7,FALLO,7,0x3F
0x250,0x4A,0x0,FALLO,2,0x10
0xF65,0x1EC,0x5,FALLO,0,0x5
0x5A4,0xB4,0x4,FALLO,1,0xC
0x1FC,0x3F,0x4,FALLO,3,0x1C
0xC51,0x18A,0x1,FALLO,4,0x21
0x571,0xAE,0x1,FALLO,5,0x29
0xEA,0x1D,0x2,FALLO,6,0x32
0xB54,0x16A,0x4,FALLO,7,0x3C
0xDF8,0x1BF,0x0,FALLO,2,0x10
0xF64,0x1EC,0x4,HIT,0,0x4
0x9B6,0x136,0x6,FALLO,1,0xE
0x2F8,0x5F,0x0,FALLO,3,0x18
0x7D8,0xFB,0x0,FALLO,4,0x20
0x3A,0x7,0x2,FALLO,5,0x2A
0x65F,0xCB,0x7,FALLO,6,0x37
0xD0E,0x1A1,0x6,FALLO,7,0x3E
0x6B0,0xD6,0x0,FALLO,0,0x0
0x1D0,0x3A,0x0,FALLO,2,0x10
0xC6,0x18,0x6,FALLO,1,0xE
0xBDF,0x17B,0x7,FALLO,3,0x1F
0x24D,0x49,0x5,FALLO,4,0x25
0xF5B,0x1EB,0x3,FALLO,5,0x2B
0xB83,0x170,0x3,FALLO,6,0x33
0xFE8,0x1FD,0x0,FALLO,7,0x38
0x3CE,0x79,0x6,FALLO,0,0x6
0xBD6,0x17A,0x6,FALLO,2,0x16
0xD88,0x1B1,0x0,FALLO,1,0x8
0xACE,0x159,0x6,FALLO,3,0x1E
0x214,0x42,0x4,FALLO,4,0x24
0x7C,0xF,0x4,FALLO,5,0x2C
0x6E7,0xDC,0x7,FALLO,6,0x37
0xEAD,0x1D5,0x5,FALLO,7,0x3D
0xF7A,0x1EF,0x2,FALLO,0,0x2
0x22B,0x45,0x3,FALLO,2,0x13
0x7FB,0xFF,0x3,FALLO,1,0xB
0x8F6,0x11E,0x6,FALLO,3,0x1E
0x914,0x122,0x4,FALLO,4,0x24
0xFF1,0x1FE,0x1,FALLO,5,0x29
0xEA0,0x1D4,0x0,FALLO,6,0x30
0x59C,0xB3,0x4,FALLO,7,0x3C
0x6F4,0xDE,0x4,FALLO,0,0x4
0x6FF,0xDF,0x7,FALLO,2,0x17
0xB93,0x172,0x3,FALLO,1,0xB
0x26A,0x4D,0x2,FALLO,3,0x1A
0xFCF,0x1F9,0x7,FALLO,4,0x27
0xC3E,0x187,0x6,FALLO,5,0x2E
0x722,0xE4,0x2,FALLO,6,0x32
0xC08,0x181,0x0,FALLO,7,0x38
0xCF6,0x19E,0x6,FALLO,0,0x6
0x194,0x32,0x4,FALLO,2,0x14
0x7F2,0xFE,0x2,FALLO,1,0xA
0xF17,0x1E2,0x7,FALLO,3,0x1F
0xBB9,0x177,0x1,FALLO,4,0x21
0x42A,0x85,0x2,FALLO,5,0x2A
0x6EF,0xDD,0x7,FALLO,6,0x37
0x5CD,0xB9,0x5,FALLO,7,0x3D
0xD9A,0x1B3,0x2,FALLO,0,0x2
0xCB2,0x196,0x2,FALLO,2,0x12
0x739,0xE7,0x1,FALLO,1,0x9
0x6D5,0xDA,0x5,FALLO,3,0x1D
0x6A5,0xD4,0x5,FALLO,4,0x25
0x9A,0x13,0x2,FALLO,5,0x2A
0xD91,0x1B2,0x1,FALLO,6,0x31
0xA80,0x150,0x0,FALLO,7,0x38
0x572,0xAE,0x2,FALLO,0,0x2
0x8B9,0x117,0x1,FALLO,2,0x11
0xD27,0x1A4,0x7,FALLO,1,0xF
0x727,0xE4,0x7,FALLO,3,0x1F
0xD21,0x1A4,0x1,HIT,1,0x9
0xA1A,0x143,0x2,FALLO,4,0x22
0xD8F,0x1B1,0x7,FALLO,5,0x2F
0x61F,0xC3,0x7,FALLO,6,0x37
0xCE5,0x19C,0x5,FALLO,7,0x3D
0x4CC,0x99,0x4,FALLO,0,0x4
0x6E4,0xDC,0x4,FALLO,2,0x14
0x36B,0x6D,0x3,FALLO,1,0xB
0x823,0x104,0x3,FALLO,3,0x1B
0x604,0xC0,0x4,FALLO,4,0x24
0x1B0,0x36,0x0,FALLO,5,0x28
0x547,0xA8,0x7,FALLO,6,0x37
0x3FD,0x7F,0x5,FALLO,7,0x3D
0x8F8,0x11F,0x0,FALLO,0,0x0
0x996,0x132,0x6,FALLO,2,0x16
0xAAA,0x155,0x2,FALLO,1,0xA
0xF65,0x1EC,0x5,FALLO,3,0x1D
0x188,0x31,0x0,FALLO,4,0x20
0xE61,0x1CC,0x1,FALLO,5,0x29
0x348,0x69,0x0,FALLO,6,0x30
0x691,0xD2,0x1,FALLO,7,0x39
0x5,0x0,0x5,FALLO,0,0x5
0x573,0xAE,0x3,FALLO,2,0x13
0x2C6,0x58,0x6,FALLO,1,0xE
0x62D,0xC5,0x5,FALLO,3,0x1D
0xA92,0x152,0x2,FALLO,4,0x22
0xE9B,0x1D3,0x3,FALLO,5,0x2B
0x8BC,0x117,0x4,FALLO,6,0x34
0x536,0xA6,0x6,FALLO,7,0x3E
0xBFA,0x17F,0x2,FALLO,0,0x2
0x9A5,0x134,0x5,FALLO,2,0x15
0x487,0x90,0x7,FALLO,1,0xF
0xD69,0x1AD,0x1,FALLO,3,0x19
0x2D7,0x5A,0x7,FALLO,4,0x27
0x53F,0xA7,0x7,FALLO,5,0x2F
0x9FF,0x13F,0x7,FALLO,6,0x37
0x8E2,0x11C,0x2,FALLO,7,0x3A
0x913,0x122,0x3,FALLO,0,0x3
0xB99,0x173,0x1,FALLO,2,0x11
0xE11,0x1C2,0x1,FALLO,1,0x9
0x312,0x62,0x2,FALLO,3,0x1A
0x801,0x100,0x1,FALLO,4,0x21
0x7DF,0xFB,0x7,FALLO,5,0x2F
0xD53,0x1AA,0x3,FALLO,6,0x33
0x70B,0xE1,0x3,FALLO,7,0x3B
0xFD4,0x1FA,0x4,FALLO,0,0x4
0xA2E,0x145,0x6,FALLO,2,0x16
