DV,NPV,Offset,Estado,Marco,DF
0x2151A,0x21,0x51A,FALLO,0,0x51A
0x359AC,0x35,0x9AC,FALLO,1,0x19AC
0x76BC3,0x76,0xBC3,FALLO,2,0x2BC3
0x1F9EA,0x1F,0x9EA,FALLO,3,0x39EA
0x33E77,0x33,0xE77,FALLO,4,0x4E77
0x4CECA,0x4C,0xECA,FALLO,5,0x5ECA
0x4F756,0x4F,0x756,FALLO,6,0x6756
0x32EF,0x3,0x2EF,FALLO,7,0x72EF
0x763A8,0x76,0x3A8,HIT,2,0x23A8
0x5DB6A,0x5D,0xB6A,FALLO,8,0x8B6A
0x35F58,0x35,0xF58,HIT,1,0x1F58
0x63E90,0x63,0xE90,FALLO,9,0x9E90
0x20DDF,0x20,0xDDF,FALLO,10,0xADDF
0x417,0x0,0x417,FALLO,11,0xB417
0x2BAC,0x2,0xBAC,FALLO,12,0xCBAC
0x6674C,0x66,0x74C,FALLO,13,0xD74C
0x7C5A9,0x7C,0x5A9,FALLO,14,0xE5A9
0x7DB6C,0x7D,0xB6C,FALLO,15,0xFB6C
0x392FE,0x39,0x2FE,FALLO,16,0x102FE
0x2315E,0x23,0x15E,FALLO,17,0x1115E
0x231BA,0x23,0x1BA,HIT,17,0x111BA
0x75A9B,0x75,0xA9B,FALLO,18,0x12A9B
0x292D,0x2,0x92D,HIT,12,0xC92D
0x717E,0x7,0x17E,FALLO,19,0x1317E
0x46431,0x46,0x431,FALLO,20,0x14431
0x31BF8,0x31,0xBF8,FALLO,21,0x15BF8
0x610CF,0x61,0xCF,FALLO,22,0x160CF
0x480FF,0x48,0xFF,FALLO,23,0x170FF
0x44E9F,0x44,0xE9F,FALLO,24,0x18E9F
0x20751,0x20,0x751,HIT,10,0xA751
0x59F1C,0x59,0xF1C,FALLO,25,0x19F1C
0x68E3B,0x68,0xE3B,FALLO,26,0x1AE3B
0x36ED9,0x36,0xED9,FALLO,27,0x1BED9
0x12C96,0x12,0xC96,FALLO,28,0x1CC96
0x62A1B,0x62,0xA1B,FALLO,29,0x1DA1B
0x153F5,0x15,0x3F5,FALLO,30,0x1E3F5
0x7B60E,0x7B,0x60E,FALLO,31,0x1F60E
0x53AC6,0x53,0xAC6,FALLO,0,0xAC6
0x16144,0x16,0x144,FALLO,1,0x1144
0x54886,0x54,0x886,FALLO,2,0x2886
0xB811,0xB,0x811,FALLO,3,0x3811
0x1FF8A,0x1F,0xF8A,FALLO,4,0x4F8A
0x23A34,0x23,0xA34,HIT,17,0x11A34
0x3ED7F,0x3E,0xD7F,FALLO,5,0x5D7F
0x1872D,0x18,0x72D,FALLO,6,0x672D
0xFC10,0xF,0xC10,FALLO,7,0x7C10
0x5FCD5,0x5F,0xCD5,FALLO,8,0x8CD5
0x352B2,0x35,0x2B2,FALLO,9,0x92B2
0x29EA9,0x29,0xEA9,FALLO,10,0xAEA9
0x4BCEA,0x4B,0xCEA,FALLO,11,0xBCEA
0x25491,0x25,0x491,FALLO,12,0xC491
0x1C349,0x1C,0x349,FALLO,13,0xD349
0x1EFEF,0x1E,0xFEF,FALLO,14,0xEFEF
0x7D06B,0x7D,0x6B,HIT,15,0xF06B
0x7136B,0x71,0x36B,FALLO,16,0x1036B
0x592C9,0x59,0x2C9,HIT,25,0x192C9
0x44BF2,0x44,0xBF2,HIT,24,0x18BF2
0x4DD00,0x4D,0xD00,FALLO,18,0x12D00
0x40346,0x40,0x346,FALLO,19,0x13346
0xE2B0,0xE,0x2B0,FALLO,20,0x142B0
0x5F89D,0x5F,0x89D,HIT,8,0x889D
0x2AEA,0x2,0xAEA,FALLO,21,0x15AEA
0x2ACF2,0x2A,0xCF2,FALLO,22,0x16CF2
0x7675F,0x76,0x75F,FALLO,23,0x1775F
0x5241A,0x52,0x41A,FALLO,26,0x1A41A
0x1D808,0x1D,0x808,FALLO,27,0x1B808
0x65C57,0x65,0xC57,FALLO,28,0x1CC57
0x213E1,0x21,0x3E1,FALLO,29,0x1D3E1
0x2F85,0x2,0xF85,HIT,21,0x15F85
0x4D2D3,0x4D,0x2D3,HIT,18,0x122D3
0x77B95,0x77,0xB95,FALLO,30,0x1EB95
0x7A964,0x7A,0x964,FALLO,31,0x1F964
0x4C8FC,0x4C,0x8FC,FALLO,15,0xF8FC
0x78A7D,0x78,0xA7D,FALLO,17,0x11A7D
0x4D8F9,0x4D,0x8F9,HIT,18,0x128F9
0x3224F,0x32,0x24F,FALLO,24,0x1824F
0x69B8E,0x69,0xB8E,FALLO,25,0x19B8E
0x1E441,0x1E,0x441,HIT,14,0xE441
0x6F296,0x6F,0x296,FALLO,0,0x296
0x12B30,0x12,0xB30,FALLO,1,0x1B30
0x1024F,0x10,0x24F,FALLO,2,0x224F
0x6E4D9,0x6E,0x4D9,FALLO,3,0x34D9
0x6002C,0x60,0x2C,FALLO,4,0x402C
0x14421,0x14,0x421,FALLO,5,0x5421
0x555F9,0x55,0x5F9,FALLO,6,0x65F9
0x66905,0x66,0x905,FALLO,7,0x7905
0x75B27,0x75,0xB27,FALLO,8,0x8B27
0x37D6,0x3,0x7D6,FALLO,9,0x97D6
0x204D8,0x20,0x4D8,FALLO,10,0xA4D8
0x79654,0x79,0x654,FALLO,11,0xB654
0x619CE,0x61,0x9CE,FALLO,12,0xC9CE
0x6B79D,0x6B,0x79D,FALLO,13,0xD79D
0x7548F,0x75,0x48F,HIT,8,0x848F
0x2BE31,0x2B,0xE31,FALLO,16,0x10E31
0x433E0,0x43,0x3E0,FALLO,18,0x123E0
0x48208,0x48,0x208,FALLO,19,0x13208
0x724EA,0x72,0x4EA,FALLO,20,0x144EA
0x53A87,0x53,0xA87,FALLO,21,0x15A87
0x31171,0x31,0x171,FALLO,22,0x16171
0x61256,0x61,0x256,HIT,12,0xC256
0x4CC27,0x4C,0xC27,HIT,15,0xFC27
0x6BC8D,0x6B,0xC8D,HIT,13,0xDC8D
0x311DE,0x31,0x1DE,HIT,22,0x161DE
0x67A6B,0x67,0xA6B,FALLO,23,0x17A6B
0x43D68,0x43,0xD68,HIT,18,0x12D68
0x33379,0x33,0x379,FALLO,26,0x1A379
0x1766A,0x17,0x66A,FALLO,27,0x1B66A
0x1730E,0x17,0x30E,HIT,27,0x1B30E
0x6483E,0x64,0x83E,FALLO,28,0x1C83E
0x4F6D5,0x4F,0x6D5,FALLO,29,0x1D6D5
0x31DB3,0x31,0xDB3,HIT,22,0x16DB3
0x5C326,0x5C,0x326,FALLO,30,0x1E326
0x77D9B,0x77,0xD9B,FALLO,31,0x1FD9B
0x14623,0x14,0x623,HIT,5,0x5623
0x27E88,0x27,0xE88,FALLO,14,0xEE88
0x1CDAD,0x1C,0xDAD,FALLO,17,0x11DAD
0x64A2A,0x64,0xA2A,HIT,28,0x1CA2A
0x72B1,0x7,0x2B1,FALLO,24,0x182B1
0x636A,0x6,0x36A,FALLO,25,0x1936A
0x44362,0x44,0x362,FALLO,0,0x362
0x1DE30,0x1D,0xE30,FALLO,1,0x1E30
0x11D53,0x11,0xD53,FALLO,2,0x2D53
0x5D5C9,0x5D,0x5C9,FALLO,3,0x35C9
0x1EB44,0x1E,0xB44,FALLO,4,0x4B44
0x79389,0x79,0x389,HIT,11,0xB389
