DV,NPV,Offset,Estado,Marco,DF
0xEF5,0x1DE,0x5,FALLO,0,0x5
0xA6B,0x14D,0x3,FALLO,1,0xB
0x4D7,0x9A,0x7,FALLO,2,0x17
0x3F,0x7,0x7,FALLO,3,0x1F
0x6,0x0,0x6,FALLO,4,0x26
0x1FA,0x3F,0x2,FALLO,5,0x2A
0x4B2,0x96,0x2,FALLO,6,0x32
0x8E5,0x11C,0x5,FALLO,7,0x3D
0x9B5,0x136,0x5,FALLO,8,0x45
0xD3E,0x1A7,0x6,FALLO,9,0x4E
0x32D,0x65,0x5,FALLO,10,0x55
0xEA6,0x1D4,0x6,FALLO,11,0x5E
0xC21,0x184,0x1,FALLO,12,0x61
0x7ED,0xFD,0x5,FALLO,13,0x6D
0x94,0x12,0x4,FALLO,14,0x74
0x40B,0x81,0x3,FALLO,15,0x7B
0x637,0xC6,0x7,FALLO,16,0x87
0x29B,0x53,0x3,FALLO,17,0x8B
0x8EF,0x11D,0x7,FALLO,18,0x97
0x791,0xF2,0x1,FALLO,19,0x99
0x658,0xCB,0x0,FALLO,20,0xA0
0xDDF,0x1BB,0x7,FALLO,21,0xAF
0xB65,0x16C,0x5,FALLO,22,0xB5
0x7C6,0xF8,0x6,FALLO,23,0xBE
0xB63,0x16C,0x3,HIT,22,0xB3
0x53F,0xA7,0x7,FALLO,24,0xC7
0xE4A,0x1C9,0x2,FALLO,25,0xCA
0xB1,0x16,0x1,FALLO,26,0xD1
0x210,0x42,0x0,FALLO,27,0xD8
0xE1A,0x1C3,0x2,FALLO,28,0xE2
0x8B3,0x116,0x3,FALLO,29,0xEB
0xA28,0x145,0x0,FALLO,30,0xF0
0x39,0x7,0x1,HIT,3,0x19
0x5BD,0xB7,0x5,FALLO,31,0xFD
0xB7,0x16,0x7,HIT,26,0xD7
0x55A,0xAB,0x2,FALLO,0,0x2
0x8D2,0x11A,0x2,FALLO,1,0xA
0x7B5,0xF6,0x5,FALLO,2,0x15
0xEFD,0x1DF,0x5,FALLO,3,0x1D
0xEC7,0x1D8,0x7,FALLO,4,0x27
0x81E,0x103,0x6,FALLO,5,0x2E
0xC58,0x18B,0x0,FALLO,6,0x30
0x543,0xA8,0x3,FALLO,7,0x3B
0x6B9,0xD7,0x1,FALLO,8,0x41
0x471,0x8E,0x1,FALLO,9,0x49
0x8B7,0x116,0x7,HIT,29,0xEF
0xFF5,0x1FE,0x5,FALLO,10,0x55
0x6B6,0xD6,0x6,FALLO,11,0x5E
0x732,0xE6,0x2,FALLO,12,0x62
0x33B,0x67,0x3,FALLO,13,0x6B
0xD12,0x1A2,0x2,FALLO,14,0x72
0xD8A,0x1B1,0x2,FALLO,15,0x7A
0x419,0x83,0x1,FALLO,16,0x81
0xA12,0x142,0x2,FALLO,17,0x8A
0xE88,0x1D1,0x0,FALLO,18,0x90
0xF7F,0x1EF,0x7,FALLO,19,0x9F
0xE68,0x1CD,0x0,FALLO,20,0xA0
0xAE0,0x15C,0x0,FALLO,21,0xA8
0x7D7,0xFA,0x7,FALLO,22,0xB7
0xF31,0x1E6,0x1,FALLO,23,0xB9
0x24,0x4,0x4,FALLO,24,0xC4
0x386,0x70,0x6,FALLO,25,0xCE
0x4A1,0x94,0x1,FALLO,26,0xD1
0x6D3,0xDA,0x3,FALLO,27,0xDB
0x656,0xCA,0x6,FALLO,28,0xE6
0xA9B,0x153,0x3,FALLO,30,0xF3
0x7BD,0xF7,0x5,FALLO,31,0xFD
0xAEA,0x15D,0x2,FALLO,29,0xEA
0xF7F,0x1EF,0x7,HIT,19,0x9F
0xD16,0x1A2,0x6,HIT,14,0x76
0x4DA,0x9B,0x2,FALLO,0,0x2
0x8EB,0x11D,0x3,FALLO,1,0xB
0x11C,0x23,0x4,FALLO,2,0x14
0xBD3,0x17A,0x3,FALLO,3,0x1B
0x27F,0x4F,0x7,FALLO,4,0x27
