DV,NPV,Offset,Estado,Marco,DF
0x2151A,0x21,0x51A,FALLO,0,0x51A
0x359AC,0x35,0x9AC,FALLO,1,0x19AC
0x76BC3,0x76,0xBC3,FALLO,2,0x2BC3
0x1F9EA,0x1F,0x9EA,FALLO,3,0x39EA
0x33E77,0x33,0xE77,FALLO,4,0x4E77
0x4CECA,0x4C,0xECA,FALLO,5,0x5ECA
0x4F756,0x4F,0x756,FALLO,6,0x6756
0x32EF,0x3,0x2EF,FALLO,7,0x72EF
0x763A8,0x76,0x3A8,HIT,2,0x23A8
0x5DB6A,0x5D,0xB6A,FALLO,0,0xB6A
0x35F58,0x35,0xF58,HIT,1,0x1F58
0x63E90,0x63,0xE90,FALLO,2,0x2E90
0x20DDF,0x20,0xDDF,FALLO,3,0x3DDF
0x417,0x0,0x417,FALLO,4,0x4417
0x2BAC,0x2,0xBAC,FALLO,5,0x5BAC
0x6674C,0x66,0x74C,FALLO,6,0x674C
0x7C5A9,0x7C,0x5A9,FALLO,7,0x75A9
0x7DB6C,0x7D,0xB6C,FALLO,1,0x1B6C
0x392FE,0x39,0x2FE,FALLO,0,0x2FE
0x2315E,0x23,0x15E,FALLO,2,0x215E
0x231BA,0x23,0x1BA,HIT,2,0x21BA
0x75A9B,0x75,0xA9B,FALLO,3,0x3A9B
0x292D,0x2,0x92D,HIT,5,0x592D
0x717E,0x7,0x17E,FALLO,4,0x417E
0x46431,0x46,0x431,FALLO,6,0x6431
0x31BF8,0x31,0xBF8,FALLO,7,0x7BF8
0x610CF,0x61,0xCF,FALLO,1,0x10CF
0x480FF,0x48,0xFF,FALLO,5,0x50FF
0x44E9F,0x44,0xE9F,FALLO,0,0xE9F
0x20751,0x20,0x751,FALLO,2,0x2751
0x59F1C,0x59,0xF1C,FALLO,3,0x3F1C
0x68E3B,0x68,0xE3B,FALLO,4,0x4E3B
0x36ED9,0x36,0xED9,FALLO,6,0x6ED9
0x12C96,0x12,0xC96,FALLO,7,0x7C96
0x62A1B,0x62,0xA1B,FALLO,1,0x1A1B
0x153F5,0x15,0x3F5,FALLO,5,0x53F5
0x7B60E,0x7B,0x60E,FALLO,0,0x60E
0x53AC6,0x53,0xAC6,FALLO,2,0x2AC6
0x16144,0x16,0x144,FALLO,3,0x3144
0x54886,0x54,0x886,FALLO,4,0x4886
0xB811,0xB,0x811,FALLO,6,0x6811
0x1FF8A,0x1F,0xF8A,FALLO,7,0x7F8A
0x23A34,0x23,0xA34,FALLO,1,0x1A34
0x3ED7F,0x3E,0xD7F,FALLO,5,0x5D7F
0x1872D,0x18,0x72D,FALLO,0,0x72D
0xFC10,0xF,0xC10,FALLO,2,0x2C10
0x5FCD5,0x5F,0xCD5,FALLO,3,0x3CD5
0x352B2,0x35,0x2B2,FALLO,4,0x42B2
0x29EA9,0x29,0xEA9,FALLO,6,0x6EA9
0x4BCEA,0x4B,0xCEA,FALLO,7,0x7CEA
0x25491,0x25,0x491,FALLO,1,0x1491
0x1C349,0x1C,0x349,FALLO,5,0x5349
0x1EFEF,0x1E,0xFEF,FALLO,0,0xFEF
0x7D06B,0x7D,0x6B,FALLO,2,0x206B
0x7136B,0x71,0x36B,FALLO,3,0x336B
0x592C9,0x59,0x2C9,FALLO,4,0x42C9
0x44BF2,0x44,0xBF2,FALLO,6,0x6BF2
0x4DD00,0x4D,0xD00,FALLO,7,0x7D00
0x40346,0x40,0x346,FALLO,1,0x1346
0xE2B0,0xE,0x2B0,FALLO,5,0x52B0
0x5F89D,0x5F,0x89D,FALLO,0,0x89D
0x2AEA,0x2,0xAEA,FALLO,2,0x2AEA
0x2ACF2,0x2A,0xCF2,FALLO,3,0x3CF2
0x7675F,0x76,0x75F,FALLO,4,0x475F
0x5241A,0x52,0x41A,FALLO,6,0x641A
0x1D808,0x1D,0x808,FALLO,7,0x7808
0x65C57,0x65,0xC57,FALLO,1,0x1C57
0x213E1,0x21,0x3E1,FALLO,5,0x53E1
0x2F85,0x2,0xF85,HIT,2,0x2F85
0x4D2D3,0x4D,0x2D3,FALLO,0,0x2D3
0x77B95,0x77,0xB95,FALLO,3,0x3B95
0x7A964,0x7A,0x964,FALLO,4,0x4964
0x4C8FC,0x4C,0x8FC,FALLO,6,0x68FC
0x78A7D,0x78,0xA7D,FALLO,7,0x7A7D
0x4D8F9,0x4D,0x8F9,HIT,0,0x8F9
0x3224F,0x32,0x24F,FALLO,1,0x124F
0x69B8E,0x69,0xB8E,FALLO,2,0x2B8E
0x1E441,0x1E,0x441,FALLO,5,0x5441
0x6F296,0x6F,0x296,FALLO,0,0x296
0x12B30,0x12,0xB30,FALLO,3,0x3B30
0x1024F,0x10,0x24F,FALLO,4,0x424F
0x6E4D9,0x6E,0x4D9,FALLO,6,0x64D9
0x6002C,0x60,0x2C,FALLO,7,0x702C
0x14421,0x14,0x421,FALLO,1,0x1421
0x555F9,0x55,0x5F9,FALLO,2,0x25F9
0x66905,0x66,0x905,FALLO,5,0x5905
0x75B27,0x75,0xB27,FALLO,0,0xB27
0x37D6,0x3,0x7D6,FALLO,3,0x37D6
0x204D8,0x20,0x4D8,FALLO,4,0x44D8
0x79654,0x79,0x654,FALLO,6,0x6654
0x619CE,0x61,0x9CE,FALLO,7,0x79CE
0x6B79D,0x6B,0x79D,FALLO,1,0x179D
0x7548F,0x75,0x48F,HIT,0,0x48F
0x2BE31,0x2B,0xE31,FALLO,2,0x2E31
0x433E0,0x43,0x3E0,FALLO,5,0x53E0
0x48208,0x48,0x208,FALLO,3,0x3208
0x724EA,0x72,0x4EA,FALLO,4,0x44EA
0x53A87,0x53,0xA87,FALLO,6,0x6A87
0x31171,0x31,0x171,FALLO,7,0x7171
0x61256,0x61,0x256,FALLO,0,0x256
0x4CC27,0x4C,0xC27,FALLO,1,0x1C27
0x6BC8D,0x6B,0xC8D,FALLO,2,0x2C8D
0x311DE,0x31,0x1DE,HIT,7,0x71DE
0x67A6B,0x67,0xA6B,FALLO,5,0x5A6B
0x43D68,0x43,0xD68,FALLO,3,0x3D68
0x33379,0x33,0x379,FALLO,4,0x4379
0x1766A,0x17,0x66A,FALLO,6,0x666A
0x1730E,0x17,0x30E,HIT,6,0x630E
0x6483E,0x64,0x83E,FALLO,7,0x783E
0x4F6D5,0x4F,0x6D5,FALLO,0,0x6D5
0x31DB3,0x31,0xDB3,FALLO,1,0x1DB3
0x5C326,0x5C,0x326,FALLO,2,0x2326
0x77D9B,0x77,0xD9B,FALLO,5,0x5D9B
0x14623,0x14,0x623,FALLO,3,0x3623
0x27E88,0x27,0xE88,FALLO,4,0x4E88
0x1CDAD,0x1C,0xDAD,FALLO,6,0x6DAD
0x64A2A,0x64,0xA2A,HIT,7,0x7A2A
0x72B1,0x7,0x2B1,FALLO,0,0x2B1
0x636A,0x6,0x36A,FALLO,1,0x136A
0x44362,0x44,0x362,FALLO,2,0x2362
0x1DE30,0x1D,0xE30,FALLO,5,0x5E30
0x11D53,0x11,0xD53,FALLO,7,0x7D53
0x5D5C9,0x5D,0x5C9,FALLO,3,0x35C9
0x1EB44,0x1E,0xB44,FALLO,4,0x4B44
0x79389,0x79,0x389,FALLO,6,0x6389
0x49BE9,0x49,0xBE9,FALLO,0,0xBE9
