DV,NPV,Offset,Estado,Marco,DF
0xEF5,0x1DE,0x5,FALLO,0,0x5
0xA6B,0x14D,0x3,FALLO,1,0xB
0x4D7,0x9A,0x7,FALLO,2,0x17
0x3F,0x7,0x7,FALLO,3,0x1F
0x6,0x0,0x6,FALLO,4,0x26
0x1FA,0x3F,0x2,FALLO,5,0x2A
0x4B2,0x96,0x2,FALLO,6,0x32
0x8E5,0x11C,0x5,FALLO,7,0x3D
0x9B5,0x136,0x5,FALLO,8,0x45
0xD3E,0x1A7,0x6,FALLO,9,0x4E
0x32D,0x65,0x5,FALLO,10,0x55
0xEA6,0x1D4,0x6,FALLO,11,0x5E
0xC21,0x184,0x1,FALLO,12,0x61
0x7ED,0xFD,0x5,FALLO,13,0x6D
0x94,0x12,0x4,FALLO,14,0x74
0x40B,0x81,0x3,FALLO,15,0x7B
0x637,0xC6,0x7,FALLO,0,0x7
0x29B,0x53,0x3,FALLO,1,0xB
0x8EF,0x11D,0x7,FALLO,2,0x17
0x791,0xF2,0x1,FALLO,3,0x19
0x658,0xCB,0x0,FALLO,4,0x20
0xDDF,0x1BB,0x7,FALLO,5,0x2F
0xB65,0x16C,0x5,FALLO,6,0x35
0x7C6,0xF8,0x6,FALLO,7,0x3E
0xB63,0x16C,0x3,HIT,6,0x33
0x53F,0xA7,0x7,FALLO,8,0x47
0xE4A,0x1C9,0x2,FALLO,9,0x4A
0xB1,0x16,0x1,FALLO,10,0x51
0x210,0x42,0x0,FALLO,11,0x58
0xE1A,0x1C3,0x2,FALLO,12,0x62
0x8B3,0x116,0x3,FALLO,13,0x6B
0xA28,0x145,0x0,FALLO,14,0x70
0x39,0x7,0x1,FALLO,15,0x79
0x5BD,0xB7,0x5,FALLO,0,0x5
0xB7,0x16,0x7,HIT,10,0x57
0x55A,0xAB,0x2,FALLO,1,0xA
0x8D2,0x11A,0x2,FALLO,2,0x12
0x7B5,0xF6,0x5,FALLO,3,0x1D
0xEFD,0x1DF,0x5,FALLO,4,0x25
0xEC7,0x1D8,0x7,FALLO,5,0x2F
0x81E,0x103,0x6,FALLO,6,0x36
0xC58,0x18B,0x0,FALLO,7,0x38
0x543,0xA8,0x3,FALLO,8,0x43
0x6B9,0xD7,0x1,FALLO,9,0x49
0x471,0x8E,0x1,FALLO,11,0x59
0x8B7,0x116,0x7,HIT,13,0x6F
0xFF5,0x1FE,0x5,FALLO,12,0x65
0x6B6,0xD6,0x6,FALLO,14,0x76
0x732,0xE6,0x2,FALLO,15,0x7A
0x33B,0x67,0x3,FALLO,10,0x53
0xD12,0x1A2,0x2,FALLO,13,0x6A
0xD8A,0x1B1,0x2,FALLO,0,0x2
0x419,0x83,0x1,FALLO,1,0x9
0xA12,0x142,0x2,FALLO,2,0x12
0xE88,0x1D1,0x0,FALLO,3,0x18
0xF7F,0x1EF,0x7,FALLO,4,0x27
0xE68,0x1CD,0x0,FALLO,5,0x28
0xAE0,0x15C,0x0,FALLO,6,0x30
0x7D7,0xFA,0x7,FALLO,7,0x3F
0xF31,0x1E6,0x1,FALLO,8,0x41
0x24,0x4,0x4,FALLO,9,0x4C
0x386,0x70,0x6,FALLO,11,0x5E
0x4A1,0x94,0x1,FALLO,12,0x61
0x6D3,0xDA,0x3,FALLO,14,0x73
0x656,0xCA,0x6,FALLO,15,0x7E
0xA9B,0x153,0x3,FALLO,10,0x53
0x7BD,0xF7,0x5,FALLO,13,0x6D
0xAEA,0x15D,0x2,FALLO,0,0x2
0xF7F,0x1EF,0x7,HIT,4,0x27
0xD16,0x1A2,0x6,FALLO,1,0xE
0x4DA,0x9B,0x2,FALLO,2,0x12
0x8EB,0x11D,0x3,FALLO,3,0x1B
0x11C,0x23,0x4,FALLO,5,0x2C
0xBD3,0x17A,0x3,FALLO,6,0x33
0x27F,0x4F,0x7,FALLO,7,0x3F
0xD5B,0x1AB,0x3,FALLO,8,0x43
